type;language;license;rightsHolder;accessRights;datasetID;institutionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;individualCount;occurrenceStatus;eventDate;continent;countryCode;verbatimLatitude;verbatimLongitude;verbatimCoordinates;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;identifiedBy;scientificName;kingdom;scientificNameAuthorship;taxonRank;nomenclaturalCode
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;86d8b5cc-ded6-426e-5fb1-08d8721757b5;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.298.822.341;1.487.545.122;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85747;5.29654;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;9327eaed-6eac-44bd-b74c-08d8721757b7;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.298.822.341;1.487.545.122;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85747;5.29654;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;c8549b80-ca64-4de7-fefe-08d8721757b9;Waterschap Rivierenland;1;present;11/11/2019;Europe;NL;4.299.546.487;1.487.952.188;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85812;5.29713;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;6ae96968-620a-4c4a-3c78-08d8721757bc;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.299.546.487;1.487.952.188;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85812;5.29713;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;9b4657b6-a7aa-4c79-9a26-08d8721757be;Waterschap Rivierenland;1;present;11/11/2019;Europe;NL;4.296.657.825;1.485.820.604;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85552;5.29404;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;22d823a2-b26b-4462-eb2c-08d8721757c0;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.296.657.825;1.485.820.604;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85552;5.29404;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;4e992182-6d80-4a4c-45d8-08d872175820;Waterschap Rivierenland;1;present;9/10/2019;Europe;NL;4.285.491.633;1.430.709.725;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.84540;5.21409;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;02d32254-88d3-4304-f7e7-08d872175856;Waterschap Rivierenland;1;present;3/10/2019;Europe;NL;4.285.491.633;1.430.709.725;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.84540;5.21409;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;c2cc84a9-d8e9-48e8-03a0-08d872175864;Waterschap Rivierenland;1;present;20/08/2019;Europe;NL;4.319.477.581;1.404.596.703;39-41;Rijksdriehoekscoördinaten;EPSG:28992;51.87588;5.17605;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;cddcc31d-64c5-40ae-be9c-08d872175866;Waterschap Rivierenland;1;present;20/08/2019;Europe;NL;4.319.477.581;1.404.596.703;39-41;Rijksdriehoekscoördinaten;EPSG:28992;51.87588;5.17605;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;f0d1cc10-399a-49ce-ce96-08d87217586a;Waterschap Rivierenland;1;present;1/10/2019;Europe;NL;4.319.477.581;1.404.596.703;39-41;Rijksdriehoekscoördinaten;EPSG:28992;51.87588;5.17605;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;f43a0cfe-a1f4-465f-f821-08d87217586c;Waterschap Rivierenland;1;present;4/07/2019;Europe;NL;4.319.477.581;1.404.596.703;39-41;Rijksdriehoekscoördinaten;EPSG:28992;51.87588;5.17605;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
