"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","occurrenceID","recordedBy","individualCount","occurrenceRemarks","samplingProtocol","samplingEffort","eventDate","continent","countryCode","municipality","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","identifiedBy","scientificName","kingdom","scientificNameAuthorship","nomenclaturalCode","status"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18775","Rato",2,"Catch","","times-visited=2","2020-1-13","Europe","BE","MALDEGEM ",215558.902287076,84164.394239398,"Lambert coordinates","Belgian Datum 72",51.2461863645077,3.42589732954053,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18916","Rato",,"","Fish traps=1","times-visited=6","2020-1-21","Europe","BE","ASSENEDE ",217633.195037461,102913.218443918,"Lambert coordinates","Belgian Datum 72",51.2666635296386,3.69412009859423,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19291","Rato",15,"Catch","Conibear trap=4, Fish traps=2","times-visited=9","2020-1-23","Europe","BE","KLUISBERGEN ",162364.108288329,86269.9130435318,"Lambert coordinates","Belgian Datum 72",50.7682875366477,3.46531040780755,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18944","Rato",2,"Catch","","times-visited=4","2020-1-23","Europe","BE","",216362.966348868,84117.2943629861,"Lambert coordinates","Belgian Datum 72",51.2534075664453,3.42507662521917,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19015","Rato",1,"Catch","Fish traps=5","times-visited=14","2020-1-27","Europe","BE","MALDEGEM ",215540.565615882,83988.4053759511,"Lambert coordinates","Belgian Datum 72",51.2460014638936,3.42338052889175,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19105","Rato",1,"Traces","","times-visited=2","2020-1-29","Europe","BE","LIERDE ",165234.230452942,112373.937393923,"Lambert coordinates","Belgian Datum 72",50.7963567256246,3.83505299691233,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19207","Rato",1,"Catch","","times-visited=7","2020-2-3","Europe","BE","MALDEGEM ",216606.718269894,82539.7975415568,"Lambert coordinates","Belgian Datum 72",51.2554160619956,3.40243821730391,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19174","Rato",1,"Catch","","times-visited=5","2020-2-3","Europe","BE","MALDEGEM ",216108.442577683,84127.3286379136,"Lambert coordinates","Belgian Datum 72",51.2511211658161,3.42526662656667,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19208","Rato",5,"Catch","","times-visited=5","2020-2-4","Europe","BE","",216395.609756961,84106.9215025513,"Lambert coordinates","Belgian Datum 72",51.2536997664967,3.42492212500794,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:19268","Rato",6,"Catch","","times-visited=12","2020-2-6","Europe","BE","",217574.134929001,82171.7458226919,"Lambert coordinates","Belgian Datum 72",51.2640675633237,3.39698551077654,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
